name,review_count,categories,rating,price,zip_code,street
La Seine Café,2,brasseries,4.5,,75012, ter boulevard de la Bastille
F T G,150,burgers,4.0,2.0,75002, rue du Nil
Pertinence,1,french,5.0,4.0,75007, rue de l'Exposition
Bordelais,1,bistros,5.0,,75009, rue des Capucines
Hell's Chicken,2,waffles,5.0,,75002, rue Mandar
Itacate,44,mexican,4.0,2.0,75001, rue Saint-Honoré
Les Canailles,34,french,4.5,3.0,75009, Rue La Bruyère
Le Petit Châtelet,120,french,4.0,3.0,75005, rue de la Bûcherie
La Pie Noir,14,french,4.5,,75005, rue de la Montagne Sainte Geneviève
Muscovado,23,cafes,4.5,2.0,75011, rue Sedaine
Suffren,114,brasseries,3.5,3.0,75015, avenue de Suffren
La Boucherie Café,2,french,5.0,2.0,75017, bd des Batignolles
Wild & The Moon,95,juicebars,4.0,2.0,75003, rue Charlot
Café Cassette,60,breakfast_brunch,4.0,2.0,75006, rue de Rennes
Essentiel,2,french,4.5,2.0,75016, rue de Longchamp
Janine loves Sunday,58,brasseries,4.5,2.0,75002, rue Montmartre
Substance,5,french,5.0,,75116, rue de Chaillot
Picotte,3,french,4.5,,75012, rue de Malte
Ostrea,2,seafood,5.0,,75001, rue de l'Arbre Sec
Derrière,121,modern_european,4.0,3.0,75003, rue des Gravilliers
Garance,18,french,4.0,4.0,75007, Rue St Dominique
Au Bourguignon du Marais,80,french,4.0,3.0,75004, rue François Miron
LouLou,39,italian,4.0,3.0,75001, rue de Rivoli
Fresh Noodles & Wok,49,chinese,4.5,2.0,75001, rue Saint-Denis
Galette Café,108,creperies,4.5,2.0,75007, rue de l'Université
La Petite Maison dans la Cour,1,french,5.0,1.0,75004, rue Saint-Paul
Jixiao's Buns,7,chinese,4.5,,75006, quai des Grands Augustins
Flottes,126,brasseries,3.5,3.0,75001, rue Cambon
Aux Arts Etc...,55,cafes,4.5,2.0,75005, quai de Montebello
Tour d'Argent,143,french,4.0,4.0,75005, quai de la Tournelle
Express de Lyon,43,sportsbars,4.0,2.0,75012, rue Lyon
Lili et Riton,8,french,4.5,,75014, rue du Montparnasse
Augustin,8,french,4.0,3.0,75014, rue Daguerre
Café Varenne,78,french,4.5,2.0,75007, rue de Varenne
Le Pigalle,23,hotels,4.0,3.0,75009, rue Frochot
Café New York,19,french,4.5,,75016, avenue de New York
Paul,27,bakeries,4.5,2.0,75001, Jardin du Carrousel
Robert et Louise,317,french,4.0,3.0,75003, rue Vieille du Temple
La Goutte d'Or,8,brasseries,4.0,2.0,75018, rue de la Goutte d'Or
Le Comptoir Colonial,2,gourmet,5.0,2.0,75018, Rue Lepic
Le Franc Tireur,39,brasseries,4.0,2.0,75017, rue d'Armaillé
Les Bougresses,54,french,4.5,3.0,75004, rue Jarente
Le Descartes,10,french,4.0,2.0,75005, rue Thouin
Le Sanglier Bleu,17,french,4.5,3.0,75018, bd de Clichy
Hugo & Co,13,french,4.0,,75005, rue Monge
Au Bon Accueil,80,french,4.5,3.0,75007, rue Monttessuy
Papillon,4,french,4.5,4.0,75017, rue Meissonier
Iovine's,42,pizza,5.0,2.0,75001,  rue du Colonel Driant
Le New York,2,fishnchips,5.0,,75116, avenue de New York
Le Petit Pontoise,136,bistros,4.5,3.0,75005, rue de Pontoise
La Bécane à Gaston,7,french,5.0,,75010, rue Lucien Sampaix
L'Auberge de Flora,16,french,4.0,3.0,75011, bd Richard-Lenoir
Roomies,35,burgers,4.5,2.0,75001, rue du Cygne
Cuppa,16,coffee,5.0,,75007, rue de l'Université
Au P'tit Zinc,9,bistros,4.5,2.0,75014, rue des Plantes
Bistrot 31,49,french,4.5,3.0,75016, avenue Théophile Gautier
Le Bistrot des Halles,19,brasseries,4.0,2.0,75001, rue des Halles
Sacrée Fleur,91,french,4.5,3.0,75018, rue Clignancourt
Les Bains - La Salle à Manger,2,french,5.0,4.0,75003, rue du Bourg l'Abbé
Le Moulin de la Galette,31,french,4.0,3.0,75018, rue Lepic
Foyer de la Madeleine,8,french,5.0,,75008,Place de la Madeleine
Le Petit Médicis,15,french,4.5,3.0,75006, rue de Médicis
Loubnane,70,lebanese,4.5,2.0,75005, rue Galande
Récamier Sté le,3,restaurants,4.5,,75007, rue Récamier
Café de la Paix,224,french,3.5,3.0,75009, place de l'Opéra
LArchimède,1,bistros,5.0,,75010, rue Marie et Louise
Indien Royal,13,indpak,4.0,,75017, rue Gauthey
Le Quartier Général,22,bistros,4.0,3.0,75005, boulevard Saint Germain
Proibido,48,bars,4.0,1.0,75018, rue Durantin
La Tour de Montlhéry ou chez Denise,103,french,4.0,3.0,75001, rue Prouvaires
